url,page,title,store,brand,tech,size,resolution,price
https://www.newegg.com/p/16C-0008-00048,16,"Naxa NTD-1356 13"" 720p HD LED TV with Built-In Digital TV Tuner & DVD/Media Player + Car Package, Black",Newegg,NAXA,LED,13,720p,$117.99
https://www.ebay.com/itm/AXESS-13-Inch-LED-HDTV-with-HDMI-AUX/372683991033,15,"AXESS 13-Inch LED HDTV, with HDMI/AUX",Ebay,AXESS,LED,13,1080p,$144.19
https://www.newegg.com/p/N82E16889612025,16,"SuperSonic 13.3"" 720p LED-LCD HDTV",Newegg,SUPERSONIC,LED,13.3,720p,$98.89
https://www.walmart.com/ip/Supersonic-SC-1311-13-3-720p-LED-TV/54596354,4,"Supersonic SC-1311 13.3"" 720p LED TV",Walmart,SUPERSONIC,LED,13.3,720p,$99.99
https://www.walmart.com/ip/Supersonic-13-3-Class-HD-LED-TV-720p-60Hz-SC-1311-and-Mohu-Leaf-30-HDTV-Antenna/55581335,10,"Supersonic 13.3"" Class - HD, LED TV - 720p, 60Hz (SC-1311) and Mohu Leaf 30 HDTV Antenna",Walmart,SUPERSONIC,LED,13.3,720p,$129.99
https://www.walmart.com/ip/Supersonic-13-3-Class-HD-LED-TV-720p-60Hz-SC-1311-and-SC-612-HDTV-Flat-Digital-Antenna/55844187,10,"Supersonic 13.3"" Class - HD LED TV - 720p, 60Hz (SC-1311) and SC-612 HDTV Flat Digital Antenna",Walmart,SUPERSONIC,LED,13.3,720p,$129.99
https://www.walmart.com/ip/Axess-13-3-Class-HD-720P-LED-TV-with-Built-in-DVD-TVD1801-13/41051347,5,"Axess 13.3"" Class HD (720P) LED TV with Built-in DVD (TVD1801-13)",Walmart,AXESS,LED,13.3,720p,$134.99
https://www.walmart.com/ip/Supersonic-13-3-Class-HD-LED-TV-720p-60Hz-SC-1311-and-Mohu-Leaf-50-HDTV-Antenna/55581349,10,"Supersonic 13.3"" Class - HD, LED TV - 720p, 60Hz (SC-1311) and Mohu Leaf 50 HDTV Antenna",Walmart,SUPERSONIC,LED,13.3,720p,$139.99
https://www.newegg.com/p/16C-006C-00033,15,"Supersonic SC-1311 13.3"" 720p LED TV, AC/DC Compatible for RV/Boat",Newegg,SUPERSONIC,LED,13.3,720p,$159.10
https://www.walmart.com/ip/Supersonic-13-3-Class-HD-LED-TV-DVD-Combo-720p-60Hz-SC-1312-and-SC-611-HDTV-Flat-Digital-Antenna/55844202,8,"Supersonic 13.3"" Class - HD LED TV/DVD Combo - 720p, 60Hz (SC-1312) and SC-611 HDTV Flat Digital Antenna",Walmart,SUPERSONIC,LED,13.3,720p,$159.99
https://www.walmart.com/ip/Supersonic-13-3-Class-HD-LED-TV-DVD-Combination-720p-60Hz-SC-1312-and-Mohu-Leaf-30-HDTV-Antenna/55581336,11,"Supersonic 13.3"" Class - HD, LED TV/DVD Combination - 720p, 60Hz (SC-1312) and Mohu Leaf 30 HDTV Antenna",Walmart,SUPERSONIC,LED,13.3,720p,$159.99
https://www.walmart.com/ip/Supersonic-13-3-Class-HD-LED-TV-DVD-Combination-720p-60Hz-SC-1312-and-Mohu-Leaf-50-HDTV-Antenna/55581350,10,"Supersonic 13.3"" Class - HD, LED TV/DVD Combination - 720p, 60Hz (SC-1312) and Mohu Leaf 50 HDTV Antenna",Walmart,SUPERSONIC,LED,13.3,720p,$169.99
https://www.walmart.com/ip/Supersonic-13-3-Class-HD-LED-TV-DVD-Combo-720p-60Hz-SC-1312-and-SC-612-HDTV-Flat-Digital-Antenna/55844188,11,"Supersonic 13.3"" Class - HD LED TV/DVD Combo - 720p, 60Hz (SC-1312) and SC-612 HDTV Flat Digital Antenna",Walmart,SUPERSONIC,LED,13.3,720p,$184.55
https://www.newegg.com/p/0V5-001N-00008,5,"Supersonic SC-1311 13.3"" LED Widescreen HDTV Television w/ HDMI/USB Input",Newegg,SUPERSONIC,LED,13.3,1080p,$98.90
https://www.walmart.com/ip/Office-more-br-br-TV-tv-HDMI-RV-Anywhere-FREE-Channels-Watch-RCA-HDTV-Small-For-Local-LED-tv-Perfect-USB-13-3-RF-Kitchen-inch-HD/555951210,4,"Small TV - Perfect Kitchen TV - 13.3 inch LED TV - Watch HDTV Anywhere - For Kitchen tv, RV tv, Office tv & more - FREE HD Local Channels - Small HD TV - USB, HDMI, RCA, RF & more<br><br>",Walmart,RCA,LED,13.3,1080p,$141.99
https://www.ebay.com/itm/Small-TV-with-Advanced-LED-Technology-13-3-inch-LED-TV-HDTV-HDMI-RCA-RF/291950761461,14,"Small TV with Advanced LED Technology – 13.3 inch LED TV – HDTV – HDMI, RCA, RF",Ebay,RCA,LED,13.3,1080p,$144.99
https://www.newegg.com/p/16C-004Y-00001,6,"Small TV - Perfect Kitchen TV – 13.3 inch LED TV – Watch HDTV Anywhere – For Kitchen tv, RV tv, Office tv & more– FREE HD Local Channels – Small HD TV - USB, HDMI, RCA, RF & more",Newegg,RCA,LED,13.3,1080p,$149.99
https://www.walmart.com/ip/SUPERSONIC-13-3IN-LED-WIDE-HDTV-WDVD/323520989,11,SUPERSONIC 13.3IN LED WIDE HDTV WDVD,Walmart,SUPERSONIC,LED,13.3,1080p,$224.17
https://www.ebay.com/p/16023060975,14,"RCA J14HV840 14"" healthcare HDTV, LED Flat Screen",Ebay,RCA,LED,14,1080p,$473.69
https://www.newegg.com/p/16E-0009-00001,1,"Supersonic SC-1511 15"" 720p LED-LCD TV - 16:9 - HDTV",Newegg,SUPERSONIC,LED,15,720p,$89.99
https://www.walmart.com/ip/Supersonic-SC-1512-15-TV-DVD-Combo-HDTV-16-9-1440-x-900-720p-LED-ATSC-70-deg-60-deg-HDMI-USB/602614016,8,"Supersonic SC-1512 15"" TV/DVD Combo - HDTV - 16:9 - 1440 x 900 - 720p - LED - ATSC - 70° / 60° - HDMI - USB",Walmart,SUPERSONIC,LED,15,720p,$153.52
https://www.amazon.com/SuperSonic-SC-1511H-Widescreen-Screen-Compatibility/dp/B07T57D2VT,13,"SuperSonic SC-1511H LED Widescreen HDTV 15"" Flat Screen with USB Compatibility, SD Card Reader, HDMI & AC/DC Input: Built-in Digital Noise Reduction with HDMI Cable Included (2019 Model)",Amazon,SUPERSONIC,LED,15,1080p,$114.99
https://www.walmart.com/ip/Axess-Products-TV170515-Axess-15-Inch-Led-Hdtv-1xhdmi-Headphone-Inputs-Digital-Tuner-With-Remote/395989768,6,Axess Products TV170515 Axess 15 Inch Led Hdtv 1xhdmi Headphone Inputs Digital Tuner With Remote,Walmart,AXESS,LED,15,1080p,$117.99
https://www.ebay.com/itm/AXESS-TV1704-15-15-Inch-LED-HDTV-HDMI-Digital-Tuner-Remote-Brand-New/223760995724,19,"AXESS TV1704-15 15-Inch LED HDTV, HDMI, Digital Tuner Remote Brand New ",Ebay,AXESS,LED,15,1080p,$119.99
